sampID,poolID,plantID,shoot_g,root_g,shoot_dry,pctN,pctC
Sp1,24,159,0.0394,0.0139,NA,NA,NA
Sp2,20,12,0.0465,0.0366,NA,NA,NA
Sp3,63,143,0.0279,0.0256,NA,NA,NA
Sp4,6,10,0.0238,0.0304,NA,NA,NA
Sp5,44,4,0.0271,0.0173,NA,NA,NA
Sp6,30,291,0.0304,0.0388,NA,NA,NA
Sp7,56,276,0.0243,0.013,NA,NA,NA
Sp8,19,128,0.0221,0.0066,NA,NA,NA
Sp9,51,149,0.027,0.0284,NA,NA,NA
Sp10,49,164,0.0267,0.0132,NA,NA,NA
Sp11,40,145,0.0273,0.0144,NA,NA,NA
Sp12,37,199,0.0244,0.0202,NA,NA,NA
Sp13,69,212,0.0243,0.0102,NA,NA,NA
Sp14,64,253,0.0253,0.0121,NA,NA,NA
Sp15,57,43,0.0319,0.0192,NA,NA,NA
Sp16,34,29,0.029,0.0131,NA,NA,NA
Sp17,77,68,0.0262,0.0095,0.008,1.7336874288,48.4803037829
Sp18,69,112,0.0327,0.0212,0.0145,0.9099183463,48.4726552298
Sp19,12,202,0.0284,0.0104,0.0091,1.8867420219,48.5526931039
Sp20,70,272,0.0242,0.0217,0.0095,1.233661935,48.0190264705
Sp21,3,77,0.0316,0.0119,0.0104,1.4499827778,48.0942661435
Sp22,71,121,0.0317,0.0156,0.0096,1.4311391052,48.3694254329
Sp23,16,181,0.0253,0.0218,0.0104,1.1049487624,48.3278475232
Sp24,60,201,0.0262,0.0147,0.0115,1.1151697127,47.8021571715
Sp25,26,284,0.0268,0.018,0.0097,1.3662948753,47.5824438099
Sp26,35,60,0.0266,0.0094,0.0082,1.5161758371,48.2879685932
Sp27,79,295,0.0314,0.0277,0.0128,0.9156366141,46.7283441728
Sp28,25,224,0.0273,0.0186,0.0107,1.4283250422,46.8684827022
Sp29,39,146,0.0244,0.0296,0.0107,0.8892788481,48.5919538511
Sp30,17,97,0.0272,0.0179,0.0104,1.2764163811,48.0709589686
Sp31,53,134,0.0259,0.0174,0.0099,1.361142947,48.7457992365
Sp32,67,9,0.0301,0.0161,0.0093,1.4103986894,47.782606098
Sp33,1,273,0.0203,0.0167,0.0104,1.269969108,47.4064913069
Sp34,26,223,0.0226,0.011,0.009,1.3716605918,47.627071183
Sp35,20,287,0.0229,0.0182,0.0098,1.2687588604,46.9398250809
Sp36,33,248,0.0284,0.0163,0.0104,1.1111946284,47.4760108242
Sp37,73,138,0.0254,0.0147,0.0088,1.3648053448,47.4016297702
Sp38,79,101,0.0254,0.0082,0.0088,1.781981442,48.0810996252
Sp39,10,35,0.0291,0.0066,0.0084,1.3765944443,47.2246392777
Sp40,50,13,0.0277,0.0201,0.0118,1.0801582037,46.7394148374
Sp41,17,37,0.027,0.0121,0.0107,1.2861065497,47.4348280095
Sp42,66,301,0.018,0.0084,0.009,1.0338700896,48.0809113395
Sp43,3,100,0.0241,0.0157,0.0116,1.369950761,47.5263550222
Sp44,15,178,0.0239,0.0164,0.0099,1.2911698554,47.0122103226
Sp45,24,247,0.0265,0.0169,0.0101,1.0981654802,45.9751479532
Sp46,58,240,0.023,0.0055,0.0079,1.8201944086,47.8763880771
Sp47,41,22,0.0316,0.0325,0.0142,1.0194787724,46.8921132044
Sp48,5,85,0.0309,0.0125,0.0118,1.1564520493,47.2159065391
Sp49,35,300,0.0257,0.0088,0.0092,1.4811246718,46.406647727
Sp50,68,27,0.0285,0.0064,0.0086,1.6171224425,46.5979948492
Sp51,69,269,0.0202,0.0156,0.0095,1.4841384625,47.1094797775
Sp52,39,58,0.0266,0.0078,0.0084,1.5131703454,47.4312088022
Sp53,2,69,0.0227,0.0072,0.0084,1.7523162591,47.4671960729
Sp54,C,72,0.0213,0.0045,0.0074,2.2331570448,47.9868586246
Sp55,35,93,0.0298,0.015,0.0113,1.2841251701,46.965829687
Sp56,77,185,0.0199,0.0114,0.0085,1.4465855921,47.4111480487
Sp57,40,200,0.0217,0.0069,0.0086,1.6965241402,47.9445549524
Sp58,59,136,0.0244,0.0137,0.0099,1.1559185786,48.4211892909
Sp59,58,288,0.0159,0.0128,0.0072,1.3362936633,47.7842327959
Sp60,61,17,0.0315,0.0234,0.0139,0.9685427231,47.7931659812
Sp61,6,267,0.0171,0.0121,0.0083,1.190394927,47.5003427295
Sp62,5,278,0.0198,0.0196,0.01,0.7832556356,47.9588919045
