isoID,site,site_name,Latitude,Longitude,Taxonomy,accession,ITS2_97OTUs
ISO.2,F,Kokee,22.13748,-159.6234,Hyaloscyphaceae,MT321740,Otu12
ISO.6,F,Kokee,22.13748,-159.6234,Rhizodermea veluwensis,MT321741,Otu07
ISO.10,F,Kokee,22.13748,-159.6234,Oidiodendron maius,MT321742,Otu08
ISO.11,F,Kokee,22.13748,-159.6234,Phialocephala,MT321743,Otu33
ISO.12,F,Kokee,22.13748,-159.6234,Hyaloscypha,MT321744,Otu09
ISO.13,F,Kokee,22.13748,-159.6234,Hyaloscyphaceae,MT321745,Otu32
ISO.14,F,Kokee,22.13748,-159.6234,Oidiodendron,MT321746,Otu31
ISO.15,B,Ola’a,19.44825,-155.25381,Hyphodiscus,MT321747,Otu02
ISO.18,D,Kohala,20.05143,-155.68448,Glutinomyces,MT321748,Otu30
ISO.21,D,Kohala,20.05143,-155.68448,Hyphodiscus,MT321749,Otu02
ISO.22,D,Kohala,20.05143,-155.68448,Hyaloscyphaceae,MT321750,Otu09
ISO.23,D,Kohala,20.05143,-155.68448,Hymenoscyphus,MT321751,Otu19
ISO.25,D,Kohala,20.05143,-155.68448,Helotiales,MT321752,Otu29
ISO.26,B,Ola’a,19.44825,-155.25381,Hyaloscypha,MT321753,Otu01
ISO.27,F,Kokee,22.13748,-159.6234,Chaetosphaeriaceae,MT321754,Otu28
ISO.29,B,Ola’a,19.44825,-155.25381,Oidiodendron maius ,MT321755,Otu08
ISO.32,B,Ola’a,19.44825,-155.25381,Hyaloscyphaceae,MT321756,Otu12
ISO.33,D,Kohala,20.05143,-155.68448,Hyaloscypha,MT321757,Otu09
ISO.34,B,Ola’a,19.44825,-155.25381,Hyphodiscus,MT321758,Otu02
ISO.35,A,Thurston,19.41403,-155.23434,Chaetosphaeriaceae,MT321759,Otu26
ISO.39,D,Kohala,20.05143,-155.68448,Hyaloscypha,MT321760,Otu09
ISO.40,B,Ola’a,19.44825,-155.25381,Hyphodiscus,MT321761,Otu02
ISO.43,F,Kokee,22.13748,-159.6234,Hyaloscyphaceae,MT321762,Otu18
ISO.44,C,Laupahoehoe,19.92849,-155.30149,Hyphodiscus,MT321763,Otu02
ISO.48,C,Laupahoehoe,19.92849,-155.30149,Hyaloscyphaceae,MT321764,Otu03
ISO.49,C,Laupahoehoe,19.92849,-155.30149,Hymenoscyphus,MT321765,Otu05
ISO.53,C,Laupahoehoe,19.92849,-155.30149,Rhizodermea veluwensis,MT321766,Otu07
ISO.55,C,Laupahoehoe,19.92849,-155.30149,Helotiales,MT321767,Otu21
ISO.56,C,Laupahoehoe,19.92849,-155.30149,Hyaloscypha,MT321768,Otu01
ISO.59,D,Kohala,20.05143,-155.68448,Helotiales,MT321769,Otu23
ISO.60,D,Kohala,20.05143,-155.68448,Hyaloscypha,MT321770,Otu01
ISO.61,A,Thurston,19.41403,-155.23434,Helotiales,MT321771,Otu11
ISO.63,A,Thurston,19.41403,-155.23434,Hyaloscyphaceae,MT321772,Otu25
ISO.68,B,Ola’a,19.44825,-155.25381,Hymenoscyphus,MT321773,Otu05
ISO.69,B,Ola’a,19.44825,-155.25381,Hyphodiscus,MT321774,Otu02
ISO.70,B,Ola’a,19.44825,-155.25381,Sordariales,MT321775,Otu10
ISO.74,D,Kohala,20.05143,-155.68448,Hyaloscyphaceae,MT321776,Otu14
ISO.79,D,Kohala,20.05143,-155.68448,Hyaloscyphaceae,MT321777,Otu35
ISO.82,B,Ola’a,19.44825,-155.25381,Helotiales,MT321778,Otu39
ISO.85,B,Ola’a,19.44825,-155.25381,Hyphodiscus,MT321779,Otu02
ISO.86,C,Laupahoehoe,19.92849,-155.30149,Cladophialophora,MT321780,Otu36
ISO.87,C,Laupahoehoe,19.92849,-155.30149,Hyaloscyphaceae,MT321781,Otu14
ISO.88,C,Laupahoehoe,19.92849,-155.30149,Hyaloscyphaceae,MT321782,Otu20
ISO.90,C,Laupahoehoe,19.92849,-155.30149,Oidiodendron,MT321783,Otu13
ISO.91,C,Laupahoehoe,19.92849,-155.30149,Helotiales,MT321784,Otu40
ISO.92,D,Kohala,20.05143,-155.68448,Hyaloscyphaceae,MT321785,Otu03
ISO.93,B,Ola’a,19.44825,-155.25381,Lecanoromycetes,MT321786,Otu37
ISO.96,C,Laupahoehoe,19.92849,-155.30149,Hyaloscyphaceae,MT321787,Otu18
ISO.97,A,Thurston,19.41403,-155.23434,Lecanoromycetes,MT321788,Otu24
ISO.98,C,Laupahoehoe,19.92849,-155.30149,Hypocreales,MT321789,Otu34
ISO.20b,D,Kohala,20.05143,-155.68448,Hymenoscyphus,MT321790,Otu19
ISO.28a,B,Ola’a,19.44825,-155.25381,Helotiales,MT321791,Otu27
ISO.41a,F,Kokee,22.13748,-159.6234,Hyaloscyphaceae,MT321792,Otu12
ISO.41b,F,Kokee,22.13748,-159.6234,Helotiales,MT321793,Otu22
